	sample_name_R	SBS_LIV_A	SBS_LIV_B	SBS_LIV_C	SBS_LIV_D	SBS_LIV_E	SBS_LIV_F	SBS_LIV_G	SBS_LIV_H	SBS_LIV_I	SBS_LIV_J	SBS_LIV_K	SBS_LIV_L	SBS_LIV_M
251	PD37107b_lo018	140.732897931321	1.20044474840765	27.2618408182658	5.4365537587016e-06	433.923001611682	104.836271396048	70.312126095934	142.703735700687	20.7651941378059	105.837257714484	2.75602487923317e-12	29.1560907833381	54.2851950653409
252	PD37107b_lo019	45.5798079345974	49.0663493342178	2.89443777424591e-12	3.52116694489738e-12	209.569971255348	35.7426026358191	20.5217352106206	25.1677685439529	2.7576690341277e-12	49.9565550652011	2.75602487923317e-12	18.4123082359129	3.74852271774482e-12
253	PD37107b_lo020	152.488678851217	67.2269413366239	44.3328965555504	42.7941895869157	439.043189565715	123.01439015901	97.5325035106593	124.47403292391	19.2899029136617	126.240930164446	17.8781936823553	47.8612650691563	5.8363425607166
254	PD37107b_lo022	384.624492805257	1.65264421295536e-07	15.7313033019548	348.012163381182	276.821032561585	14.995322174277	23.7418746768635	121.884344529924	100.93251028628	92.0184881625629	70.1933814072169	182.790321133632	22.2822951649116
255	PD37107b_lo023	3.19159982179268	142.251958958101	10.5909329409872	209.583026758104	474.340812124901	134.762538425053	133.529543663972	81.1763825294657	51.0417484161804	196.845880249545	28.6275318786058	3.34580881859185e-12	39.0787444629498
256	PD37107b_lo024	93.7264368969576	64.8141051173097	36.8224522900171	246.712661746248	290.334982093287	3.19817389020155	135.248718379681	80.6237776671827	47.7265807293696	284.529045829934	12.0540123625881	67.1729427259302	14.0615781408469
257	PD37107b_lo025	336.535325333259	17.0683014739036	6.57613328908031	308.545230769204	252.054632250693	2.90456336997174e-12	29.8592812900893	56.4728507249612	83.2654553947164	58.083660667987	88.9531089712482	115.612520877699	8.41737467848586e-07
258	PD37107b_lo026	343.918136130137	4.47436101865834e-07	3.28274097786294	384.372414465811	242.569506221793	0.662943134424282	3.84171731048662	32.7442470762326	120.398623416725	159.239545285162	89.5102558589172	166.490602793812	6.95674118545737e-12
259	PD37107b_lo027	105.011842783097	57.8951637462038	17.4250274122048	293.83338569341	311.082421049746	42.6708938272507	80.6510805587843	84.5514508131917	78.5636122070241	390.194627829847	27.4067804586746	35.370089857895	39.3708755939337
260	PD37107b_lo028	126.588030624988	111.242565013486	23.0178466276345	202.776933716035	174.149714947048	26.4652730068372	35.7242838068238	55.2397550295528	97.4245570983785	150.06210757421	0.000613397160296252	59.1237708660942	16.2096325185088
261	PD37107b_lo029	133.240522237883	10.9661621543044	31.3021570802922	86.1344637822647	128.64044534071	61.019725153271	37.4606845592275	60.0517240999513	27.8249660744757	93.0882049578138	31.6780438818217	17.0346599777656	14.5764403663487
262	PD37107b_lo030	95.7301689549704	90.1644874180354	55.5891106204422	219.353886386548	169.790255535238	101.66349128495	127.510414861017	82.8784988154124	106.93442384342	305.438643572298	12.59367091321	159.5508903753	74.8256405574448
